Day of Vaccination Date,Measure Names,Immunization Count,Moving Average of Immunization Count
14-Dec-20,Daily doses,11,11
15-Dec-20,Daily doses,223,117
16-Dec-20,Daily doses,1333,522.3333333
17-Dec-20,Daily doses,3034,1150.25
18-Dec-20,Daily doses,4080,1736.2
19-Dec-20,Daily doses,2533,1869
20-Dec-20,Daily doses,1573,1826.714286
21-Dec-20,Daily doses,5076,2550.285714
22-Dec-20,Daily doses,6108,3391
23-Dec-20,Daily doses,9658,4580.285714
24-Dec-20,Daily doses,3792,4688.571429
25-Dec-20,Daily doses,304,4149.142857
26-Dec-20,Daily doses,2826,4191
27-Dec-20,Daily doses,1834,4228.285714
28-Dec-20,Daily doses,10125,4949.571429
29-Dec-20,Daily doses,10387,5560.857143
30-Dec-20,Daily doses,11395,5809
31-Dec-20,Daily doses,6168,6148.428571
1-Jan-21,Daily doses,114,6121.285714
2-Jan-21,Daily doses,3245,6181.142857
3-Jan-21,Daily doses,1129,6080.428571
4-Jan-21,Daily doses,9383,5974.428571
5-Jan-21,Daily doses,11844,6182.571429
6-Jan-21,Daily doses,15342,6746.428571
7-Jan-21,Daily doses,15786,8120.428571
8-Jan-21,Daily doses,16951,10525.71429
9-Jan-21,Daily doses,4917,10764.57143
10-Jan-21,Daily doses,3091,11044.85714
11-Jan-21,Daily doses,11719,11378.57143
12-Jan-21,Daily doses,15147,11850.42857
13-Jan-21,Daily doses,18493,12300.57143
14-Jan-21,Daily doses,18453,12681.57143
15-Jan-21,Daily doses,15454,12467.71429
16-Jan-21,Daily doses,4849,12458
17-Jan-21,Daily doses,1695,12258.57143
18-Jan-21,Daily doses,11913,12286.28571
19-Jan-21,Daily doses,15761,12374
20-Jan-21,Daily doses,23998,13160.42857
21-Jan-21,Daily doses,25309,14139.85714
22-Jan-21,Daily doses,21785,15044.28571
23-Jan-21,Daily doses,7647,15444
24-Jan-21,Daily doses,2058,15495.85714
25-Jan-21,Daily doses,21265,16831.85714
26-Jan-21,Daily doses,29102,18737.71429
27-Jan-21,Daily doses,48059,22175
28-Jan-21,Daily doses,44157,24867.57143
29-Jan-21,Daily doses,39688,27425.14286
30-Jan-21,Daily doses,18925,29036.28571
31-Jan-21,Daily doses,7582,29825.42857
1-Feb-21,Daily doses,28762,30896.42857
2-Feb-21,Daily doses,38502,32239.28571
3-Feb-21,Daily doses,48358,32282
4-Feb-21,Daily doses,41062,31839.85714
5-Feb-21,Daily doses,41937,32161.14286
6-Feb-21,Daily doses,17105,31901.14286
7-Feb-21,Daily doses,4397,31446.14286
8-Feb-21,Daily doses,21753,30444.85714
9-Feb-21,Daily doses,27821,28919
10-Feb-21,Daily doses,42807,28126
11-Feb-21,Daily doses,43757,28511
12-Feb-21,Daily doses,46323,29137.57143
13-Feb-21,Daily doses,19536,29484.85714
14-Feb-21,Daily doses,6535,29790.28571
15-Feb-21,Daily doses,19815,29513.42857
16-Feb-21,Daily doses,30494,29895.28571
17-Feb-21,Daily doses,48435,30699.28571
18-Feb-21,Daily doses,47807,31277.85714
19-Feb-21,Daily doses,37729,30050.14286
20-Feb-21,Daily doses,17031,29692.28571
21-Feb-21,Daily doses,5404,29530.71429
22-Feb-21,Daily doses,24744,30234.85714
23-Feb-21,Daily doses,30779,30275.57143
24-Feb-21,Daily doses,48255,30249.85714
25-Feb-21,Daily doses,58644,31798
26-Feb-21,Daily doses,49644,33500.14286
27-Feb-21,Daily doses,28117,35083.85714
28-Feb-21,Daily doses,11726,35987
1-Mar-21,Daily doses,34522,37383.85714
2-Mar-21,Daily doses,46555,39637.57143
3-Mar-21,Daily doses,62778,41712.28571
4-Mar-21,Daily doses,55090,41204.57143
5-Mar-21,Daily doses,53186,41710.57143
6-Mar-21,Daily doses,21577,40776.28571
7-Mar-21,Daily doses,8753,40351.57143
8-Mar-21,Daily doses,28840,39539.85714
9-Mar-21,Daily doses,41589,38830.42857
10-Mar-21,Daily doses,67111,39449.42857
11-Mar-21,Daily doses,65161,40888.14286
12-Mar-21,Daily doses,58561,41656
13-Mar-21,Daily doses,32093,43158.28571
14-Mar-21,Daily doses,12786,43734.42857
15-Mar-21,Daily doses,29949,43892.85714
16-Mar-21,Daily doses,48025,44812.28571
17-Mar-21,Daily doses,70881,45350.85714
18-Mar-21,Daily doses,71532,46261
19-Mar-21,Daily doses,63251,46931
20-Mar-21,Daily doses,32671,47013.57143
21-Mar-21,Daily doses,12947,47036.57143
22-Mar-21,Daily doses,42188,48785
23-Mar-21,Daily doses,58526,50285.14286
24-Mar-21,Daily doses,73139,50607.71429
25-Mar-21,Daily doses,72948,50810
26-Mar-21,Daily doses,64556,50996.42857
27-Mar-21,Daily doses,23712,49716.57143
14-Dec-20,Seven-day average,11,11
15-Dec-20,Seven-day average,223,117
16-Dec-20,Seven-day average,1333,522.3333333
17-Dec-20,Seven-day average,3034,1150.25
18-Dec-20,Seven-day average,4080,1736.2
19-Dec-20,Seven-day average,2533,1869
20-Dec-20,Seven-day average,1573,1826.714286
21-Dec-20,Seven-day average,5076,2550.285714
22-Dec-20,Seven-day average,6108,3391
23-Dec-20,Seven-day average,9658,4580.285714
24-Dec-20,Seven-day average,3792,4688.571429
25-Dec-20,Seven-day average,304,4149.142857
26-Dec-20,Seven-day average,2826,4191
27-Dec-20,Seven-day average,1834,4228.285714
28-Dec-20,Seven-day average,10125,4949.571429
29-Dec-20,Seven-day average,10387,5560.857143
30-Dec-20,Seven-day average,11395,5809
31-Dec-20,Seven-day average,6168,6148.428571
1-Jan-21,Seven-day average,114,6121.285714
2-Jan-21,Seven-day average,3245,6181.142857
3-Jan-21,Seven-day average,1129,6080.428571
4-Jan-21,Seven-day average,9383,5974.428571
5-Jan-21,Seven-day average,11844,6182.571429
6-Jan-21,Seven-day average,15342,6746.428571
7-Jan-21,Seven-day average,15786,8120.428571
8-Jan-21,Seven-day average,16951,10525.71429
9-Jan-21,Seven-day average,4917,10764.57143
10-Jan-21,Seven-day average,3091,11044.85714
11-Jan-21,Seven-day average,11719,11378.57143
12-Jan-21,Seven-day average,15147,11850.42857
13-Jan-21,Seven-day average,18493,12300.57143
14-Jan-21,Seven-day average,18453,12681.57143
15-Jan-21,Seven-day average,15454,12467.71429
16-Jan-21,Seven-day average,4849,12458
17-Jan-21,Seven-day average,1695,12258.57143
18-Jan-21,Seven-day average,11913,12286.28571
19-Jan-21,Seven-day average,15761,12374
20-Jan-21,Seven-day average,23998,13160.42857
21-Jan-21,Seven-day average,25309,14139.85714
22-Jan-21,Seven-day average,21785,15044.28571
23-Jan-21,Seven-day average,7647,15444
24-Jan-21,Seven-day average,2058,15495.85714
25-Jan-21,Seven-day average,21265,16831.85714
26-Jan-21,Seven-day average,29102,18737.71429
27-Jan-21,Seven-day average,48059,22175
28-Jan-21,Seven-day average,44157,24867.57143
29-Jan-21,Seven-day average,39688,27425.14286
30-Jan-21,Seven-day average,18925,29036.28571
31-Jan-21,Seven-day average,7582,29825.42857
1-Feb-21,Seven-day average,28762,30896.42857
2-Feb-21,Seven-day average,38502,32239.28571
3-Feb-21,Seven-day average,48358,32282
4-Feb-21,Seven-day average,41062,31839.85714
5-Feb-21,Seven-day average,41937,32161.14286
6-Feb-21,Seven-day average,17105,31901.14286
7-Feb-21,Seven-day average,4397,31446.14286
8-Feb-21,Seven-day average,21753,30444.85714
9-Feb-21,Seven-day average,27821,28919
10-Feb-21,Seven-day average,42807,28126
11-Feb-21,Seven-day average,43757,28511
12-Feb-21,Seven-day average,46323,29137.57143
13-Feb-21,Seven-day average,19536,29484.85714
14-Feb-21,Seven-day average,6535,29790.28571
15-Feb-21,Seven-day average,19815,29513.42857
16-Feb-21,Seven-day average,30494,29895.28571
17-Feb-21,Seven-day average,48435,30699.28571
18-Feb-21,Seven-day average,47807,31277.85714
19-Feb-21,Seven-day average,37729,30050.14286
20-Feb-21,Seven-day average,17031,29692.28571
21-Feb-21,Seven-day average,5404,29530.71429
22-Feb-21,Seven-day average,24744,30234.85714
23-Feb-21,Seven-day average,30779,30275.57143
24-Feb-21,Seven-day average,48255,30249.85714
25-Feb-21,Seven-day average,58644,31798
26-Feb-21,Seven-day average,49644,33500.14286
27-Feb-21,Seven-day average,28117,35083.85714
28-Feb-21,Seven-day average,11726,35987
1-Mar-21,Seven-day average,34522,37383.85714
2-Mar-21,Seven-day average,46555,39637.57143
3-Mar-21,Seven-day average,62778,41712.28571
4-Mar-21,Seven-day average,55090,41204.57143
5-Mar-21,Seven-day average,53186,41710.57143
6-Mar-21,Seven-day average,21577,40776.28571
7-Mar-21,Seven-day average,8753,40351.57143
8-Mar-21,Seven-day average,28840,39539.85714
9-Mar-21,Seven-day average,41589,38830.42857
10-Mar-21,Seven-day average,67111,39449.42857
11-Mar-21,Seven-day average,65161,40888.14286
12-Mar-21,Seven-day average,58561,41656
13-Mar-21,Seven-day average,32093,43158.28571
14-Mar-21,Seven-day average,12786,43734.42857
15-Mar-21,Seven-day average,29949,43892.85714
16-Mar-21,Seven-day average,48025,44812.28571
17-Mar-21,Seven-day average,70881,45350.85714
18-Mar-21,Seven-day average,71532,46261
19-Mar-21,Seven-day average,63251,46931
20-Mar-21,Seven-day average,32671,47013.57143
21-Mar-21,Seven-day average,12947,47036.57143
22-Mar-21,Seven-day average,42188,48785
23-Mar-21,Seven-day average,58526,50285.14286
24-Mar-21,Seven-day average,73139,50607.71429
25-Mar-21,Seven-day average,72948,50810
26-Mar-21,Seven-day average,64556,50996.42857
27-Mar-21,Seven-day average,23712,49716.57143
